record_id,s1_v2_v2,s2_v2_v2,s3_v2_v2,s4_v2_v2,s5_v2_v2,s6_v2_v2,s7_v2_v2,s8_v2_v2,s9_v2_v2,s10_v2_v2,s11_v2_v2,s12_v2_v2,s13_v2_v2,s14_v2_v2,s15_v2_v2,approval_v2_v2,appealing_v2_v2,like_v2_v2,welcome_v2_v2,fitting_v2_v2,suitable_v2_v2,applicable_v2_v2,goodmatch_v2_v2,implement_v2_v2,possible_v2_v2,doable_v2_v2,easy_v2_v2,feedback_tirr,preimplementation_survey_complete,weekly_surveys_timestamp,patientsweek_v2,crsryesno_w,eval,rradoption_v2,rrtimes,missingdata,s1_v2,s2_v2,s3_v2,s4_v2,s5_v2,s6_v2,s7_v2,s8_v2,s9_v2,s10_v2,s11_v2,s12_v2,s13_v2,s14_v2,s15_v2,approval_v2,appealing_v2,like_v2,welcome_v2,fitting_v2,suitable_v2,applicable_v2,goodmatch_v2,implement_v2,possible_v2,doable_v2,easy_v2,feedback_v2,caregiver_handout,tracking_sheet,weekly_surveys_complete,monthly_surveys_timestamp,patientsmonth_v2m2,crsryesno,evalmonth,rradoption_v2m2,rrmonth,missingsurvey,s1_v2m2,s2_v2m2,s3_v2m2,s4_v2m2,s5_v2m2,s6_v2m2,s7_v2m2,s8_v2m2,s9_v2m2,s10_v2m2,s11_v2m2,s12_v2m2,s13_v2m2,s14_v2m2,s15_v2m2,approval_v2m2,appealing_v2m2,like_v2m2,welcome_v2m2,fitting_v2m2,suitable_v2m2,applicable_v2m2,goodmatch_v2m2,implement_v2m2,possible_v2m2,doable_v2m2,easy_v2m2,feedback_v2m2,caregiverhandout,trackingsheet,monthly_surveys_complete
1,5,5,5,2,3,4,1,1,3,3,3,2,2,3,5,4,4,4,5,5,5,5,5,4,4,4,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,5,5,1,2,1,1,2,3,3,3,3,2,1,4,5,5,5,5,5,5,5,5,5,5,5,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,5,5,1,2,2,2,1,3,3,3,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,3,5,1,1,2,1,1,2,2,2,2,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,4,4,2,4,4,3,2,2,2,2,2,2,2,4,3,4,3,3,4,4,3,3,3,4,4,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,4,4,1,1,3,4,2,3,3,3,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,4,4,3,4,4,2,3,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,4,5,1,3,3,2,1,2,1,2,2,2,1,4,4,5,4,4,5,4,4,4,5,5,5,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,4,4,1,2,2,2,1,2,2,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,"Regarding my comment on the education level from the first section of the survey, I am a OTA, and the program I completed years ago was a 1 year certificate program.  I understand if participating in this initiative is not open to OTAs.",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4,4,4,2,3,3,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5,5,5,1,2,2,2,2,1,1,1,3,1,1,4,3,5,4,5,4,4,4,4,4,4,4,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5,5,5,2,2,2,2,1,2,2,2,3,3,2,4,4,4,4,5,5,5,4,4,4,4,4,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,4,5,2,3,2,2,2,3,3,3,2,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,4,4,3,5,2,2,2,2,2,4,2,2,2,4,4,5,5,5,5,5,5,5,4,4,4,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
