Item Name,# Disagree,% Disagree,# Agree,% Agree,# Neutral,% Neutral
s1_v2_v2,0,0.00%,3,75.00%,1,25.00%
s2_v2_v2,0,0.00%,4,100.00%,0,0.00%
s3_v2_v2,0,0.00%,4,100.00%,0,0.00%
s4_v2_v2,4,100.00%,0,0.00%,0,0.00%
s5_v2_v2,3,75.00%,0,0.00%,1,25.00%
s6_v2_v2,4,100.00%,0,0.00%,0,0.00%
s7_v2_v2,3,75.00%,0,0.00%,1,25.00%
s8_v2_v2,4,100.00%,0,0.00%,0,0.00%
s9_v2_v2,1,25.00%,0,0.00%,3,75.00%
s10_v2_v2,1,25.00%,0,0.00%,3,75.00%
s11_v2_v2,1,25.00%,0,0.00%,3,75.00%
s12_v2_v2,4,100.00%,0,0.00%,0,0.00%
s13_v2_v2,3,75.00%,0,0.00%,1,25.00%
s14_v2_v2,4,100.00%,0,0.00%,0,0.00%
s15_v2_v2,0,0.00%,4,100.00%,0,0.00%
